LoanDuration,LoanPurpose,LoanAmount,InstallmentPercent,AcceptedPercent,Accepted,AmountGranted,transaction_id,timestamp
4,car_new,250,2,0.9800331274776278,1,250,0-0-0,2019-08-29T11:05:00.920046Z
4,car_new,313,2,0.9800331274776278,1,250,0-0-0,2019-07-15T12:26:00.920046Z
33,appliances,4177,4,0.4911971758888131,0,0,0-0-1,2019-08-20T10:29:00.920046Z
33,appliances,4177,4,0.4911971758888131,0,0,0-0-1,2019-07-25T11:46:00.920046Z
27,business,8493,3,0.47378699706907845,0,0,0-0-2,2019-07-16T14:02:00.920046Z
27,business,6794,3,0.47378699706907845,0,0,0-0-2,2019-08-21T08:55:00.920046Z
17,car_new,4252,2,0.8114243344334747,1,4252,0-0-3,2019-08-24T09:38:00.920046Z
17,car_new,4252,2,0.8114243344334747,1,4252,0-0-3,2019-08-22T10:25:00.920046Z
4,car_used,250,2,0.9842413066763195,1,250,0-0-4,2019-07-24T08:50:00.920046Z
4,car_used,250,2,0.9842413066763195,1,250,0-0-4,2019-08-10T12:27:00.920046Z
16,car_used,1485,3,0.7289429270224842,1,1485,0-0-5,2019-08-28T11:16:00.920046Z
16,car_used,1485,3,0.7289429270224842,1,1485,0-0-5,2019-07-23T14:55:00.920046Z
23,retraining,3387,3,0.8428014907473601,1,3387,0-0-6,2019-08-27T11:29:00.920046Z
23,retraining,3387,3,0.8428014907473601,1,3387,0-0-6,2019-07-20T13:17:00.920046Z
14,car_new,3692,1,0.9670214880087444,1,3692,0-0-7,2019-08-10T14:13:00.920046Z
14,car_new,3692,1,0.9670214880087444,1,3692,0-0-7,2019-08-21T12:59:00.920046Z
35,education,6611,5,0.44988702657224316,0,0,0-0-8,2019-08-17T10:48:00.920046Z
35,education,6611,5,0.44988702657224316,0,0,0-0-8,2019-07-17T08:10:00.920046Z
49,other,7409,5,0.19188026740739011,0,0,0-0-9,2019-08-04T09:07:00.920046Z
49,other,7409,5,0.19188026740739011,0,0,0-0-9,2019-07-09T09:38:00.920046Z
4,car_used,2118,3,0.8969090131830019,1,1694,0-0-10,2019-07-16T14:42:00.920046Z
4,car_used,1694,3,0.8969090131830019,1,1694,0-0-10,2019-07-28T12:59:00.920046Z
16,car_new,3203,3,0.8229523031942051,1,3203,0-0-11,2019-08-20T13:49:00.920046Z
16,car_new,3203,3,0.8229523031942051,1,3203,0-0-11,2019-08-10T14:24:00.920046Z
37,appliances,6408,4,0.5093516285092843,1,5126,0-0-12,2019-08-16T12:27:00.920046Z
